START_YR,TERM_DT,START_DT,YEARS_ACTIVE,EZ_PAY,MARRIED,WIDOWED,DIVORCED,SINGLE,UNKNOWN,ONLINE_ACCT,ACCIDENT_FORGIVE,MULTIPOLICY,SERVICE_ACCT,AGENT_ACCT,REQUESTED_ACCT,ACCD_DT,PAID_OUT,HAS_ACCIDENT,YRS_TILL_FIRST_CLAIM,POLICY_NBR_SCRUB
1991,,1991-03-26,34.333333333333336,0,1,0,0,0,0,1,1,1,0,1,0,,,0,,43
1989,,1989-07-03,36.0,0,1,0,0,0,0,1,1,1,0,1,0,2023-09-26,3467.17,1,34.166666666666664,84
2017,,2017-08-24,7.916666666666667,0,1,0,0,0,0,1,1,1,0,1,0,,,0,,289
2018,,2018-01-30,7.5,1,1,0,0,0,0,1,1,0,0,1,0,2022-09-05,11491.16,1,4.666666666666667,305
2020,,2020-02-11,5.416666666666667,0,1,0,0,0,0,1,0,1,0,1,0,,,0,,776
2020,,2020-04-02,5.25,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,820
2020,,2020-08-01,4.916666666666667,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,944
2020,,2020-12-04,4.583333333333333,1,1,0,0,0,0,1,0,1,0,1,0,2023-09-10,135.9,1,2.75,1098
2021,,2021-04-16,4.25,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,1331
2021,,2021-05-10,4.166666666666667,1,1,0,0,0,0,1,0,0,0,1,0,,,0,,1369
2021,,2021-06-12,4.083333333333333,1,0,0,0,1,0,1,1,1,0,1,0,2023-11-28,61.23,1,2.4166666666666665,1374
2019,,2019-09-03,5.833333333333333,0,1,0,0,0,0,1,0,1,0,1,0,2022-06-27,-135.34000000000003,1,2.75,1593
2021,,2021-09-23,3.8333333333333335,1,0,0,1,0,0,1,0,1,0,1,0,2024-09-03,25000.0,1,3.0,1629
2021,,2021-11-22,3.6666666666666665,1,1,0,0,0,0,1,1,1,0,1,0,,,0,,1745
2021,,2021-11-24,3.6666666666666665,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,1747
2022,,2022-01-17,3.5,1,0,0,0,1,0,1,0,1,0,1,0,2023-08-20,0.0,1,1.5833333333333333,1781
2022,,2022-06-23,3.0833333333333335,1,1,0,0,0,0,1,0,1,0,1,0,2022-10-19,10871.96,1,0.33333333333333331,1959
2022,,2022-06-25,3.0833333333333335,1,1,0,0,0,0,1,0,1,0,1,0,2023-02-03,79.4,1,0.66666666666666663,1979
2022,,2022-11-17,2.6666666666666665,0,0,0,0,1,0,1,0,0,0,1,0,,,0,,2426
2023,,2023-01-06,2.5,1,0,0,0,1,0,1,0,1,0,1,0,2024-06-15,24175.96,1,1.4166666666666667,2563
2023,,2023-01-17,2.5,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,2583
2023,,2023-02-17,2.4166666666666665,1,1,0,0,0,0,1,0,1,0,1,0,2024-01-28,393.0,1,0.91666666666666663,2727
2023,,2023-03-21,2.3333333333333335,1,1,0,0,0,0,1,0,1,0,1,0,2024-10-19,2153.71,1,1.5833333333333333,2838
2023,,2023-03-23,2.3333333333333335,1,1,0,0,0,0,1,1,1,0,1,0,,,0,,2849
2023,,2023-04-11,2.25,1,0,0,0,1,0,1,0,1,0,1,0,,,0,,2941
2023,,2023-05-03,2.1666666666666665,1,0,1,0,0,0,1,0,1,0,1,0,,,0,,3068
2023,,2023-06-01,2.0833333333333335,1,0,0,0,1,0,1,0,1,0,1,0,,,0,,3259
2023,,2023-06-15,2.0833333333333335,0,1,0,0,0,0,1,1,1,0,1,0,,,0,,3298
2023,,2023-07-31,2.0,0,0,0,0,1,0,1,0,0,0,1,0,2023-08-18,35493.570000000007,1,0.083333333333333329,3500
2023,,2023-08-16,1.9166666666666667,1,1,0,0,0,0,1,1,0,0,1,0,,,0,,3601
2023,,2023-10-01,1.75,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,3729
2023,,2023-09-27,1.8333333333333333,1,1,0,0,0,0,1,1,1,0,1,0,,,0,,3836
2023,,2023-09-29,1.8333333333333333,1,1,0,0,0,0,1,0,1,0,1,0,,,0,,3844
